DraftId;Draft Name
0;NHL Entry Draft
1;WHL Prospects Draft
2;OHL Priority Selection
3;QMJHL Entry Draft
4;CHL Import Draft
5;KHL Draft
6;USHL Futures Draft
7;USHL Entry Draft
8;NAHL Entry Draft
9;BCHL Affiliate Draft
10;MJHL Bantam Draft
11;SIJHL Draft
12;CCHL Draft
13;MAHL Draft
14;NHL Amateur Draft (31-62)
15;NHL Amateur Draft (63)
16;NHL Amateur Draft (64)
17;NHL Amateur Draft (65)
18;NHL Amateur Draft (66)
19;NHL Amateur Draft (67)
20;NHL Amateur Draft (68)
21;NHL Amateur Draft (69)
22;NHL Amateur Draft (70-72)
23;NHL Amateur Draft (73)
24;NHL Amateur Draft (74)
25;NHL Amateur Draft (75)
26;NHL Amateur Draft (76)
27;NHL Amateur Draft (77)
28;NHL Amateur Draft (78)
29;NHL Entry Draft (79)
30;NHL Entry Draft (80)
31;NHL Entry Draft (81-91)
32;NHL Entry Draft (92-94)
33;NHL Entry Draft (95-04)
34;NHL Entry Draft (05-present)
35;WHA Amateur Draft (72)
36;WHA Amateur Draft (73)
37;WHA Amateur Draft (74)
38;WHA Amateur Draft (75)
39;WHA Amateur Draft (76)
41;WHA Amateur Draft
42;NCAA Recruitment
57;WHA 1978 Underage Signings
58;LNAH Draft
59;OHL U18 Priority Selection
60;QMJHL American Draft
61;WHL US Prospects Draft
